明朝遗臣史可法等人拥立福王称帝南京，组织人马抗击清军。	Complex 2 4 遗臣
我自小练过脚板，如今抬腿一二十里也是寻常事。	Complex 5 7 脚板
但是它驯良不亚于勇毅，它一点儿不逞自己的烈性，它知道克制它的动作：它不但在驾驭人的手下屈从着他的操纵，还仿佛窥伺着驾驭人的颜色，它总是按照着从主人的表情方面得来的印象而奔腾，而缓步，而止步，它的一切动作都只为了满足主人的愿望。	Complex 16 17 逞
平静的江面，越往东越宽，在雨后的秋阳下，笼罩着一层白蒙蒙的薄雾。	Complex 29 31 薄雾
有弗学，学之弗能弗措也；有弗问，问之弗知弗措也；有弗思，思之弗得弗措也；有弗辨，辨之弗明弗措也；有弗行，行之弗笃弗措也。	Hard 24 27 有弗思
很快，“周恩来”这个名字和“为中华崛起而读书”，在全校师生中传播开来。	Complex 17 19 崛起
后来，拉小提琴成了我无法割舍的爱好，我能熟练地拉许多曲子。	Complex 12 14 割舍
凡卡嘴角撇下来，拿脏手背揉揉眼睛，抽噎了一下。	Complex 17 19 抽噎
大平原托着的小屯里，左邻右舍的窗子上，都贴着姥姥心灵手巧的劳作。	Hard 6 8 小屯
以前看见包弟作揖，我就想笑，这些天我在机关学习后回家，包弟向我作揖讨东西吃，我却暗暗地流泪。	Hard 19 21 机关
他说道，看着牛虻伤肿的手臂，“你可以仍然住在原来的牢房里，死因牢又黑又暗。”	Hard 6 8 牛虻
唉，多可惜，他的腿瘫痪了，好像天公总叫他还不了心愿。	Complex 9 11 瘫痪
直到那时我们才察觉我们度过的每一天时光，都赋予我们不同的色彩和形态。	Complex 7 9 察觉
大圣见了，搜的一翅飞起去，变作一只大鹚老，冲天而去。	Hard 17 20 大鹚老
一个乞丐来到一座庭院，向女主人乞讨。	Complex 15 17 乞讨
蜻蜓飞得那么快，哪里会追得上？	Complex 0 2 蜻蜓
您的马车在长满绿草的、树影斑驳的小路上行驶着；黄色的大苍蝇一动不动地在金黄色的空气中停了一会儿，突然飞去；小蚊蚋成群地盘旋着，在阴暗的地方发亮，在太阳光里发黑；鸟儿安闲地歌唱着。	Hard 53 56 小蚊蚋
水在颤动中发出淙淙声响，青草仿佛在这乐声中生长，水影显得那么调和。	Hard 7 9 淙淙
又枕帕头巾边沿用茉莉花苞作装饰的，比用小三角锯齿纹（通称狗牙齿）时代早些，狗牙齿边盛行于晚清，茉莉花流行于同光时，至于四合如意规矩格子花，则是二百年前式样。	Complex 75 77 式样
这时，宇航员们感到自己的身体轻飘飘的，无法在座舱里站稳，稍一抬脚，就会跳起三四米高。	Hard 22 24 座舱
剥开粽叶，咬一口粽子，真是又黏又甜。	Complex 14 15 黏
那人因祸得福，赶快一面吃着灵芝草，一面对天盟誓，愿给鹿、鸟永远当奴仆，一辈子伺候他们。	Complex 19 23 对天盟誓
我和爸爸一起登上了这棵大树雄伟的枝杈，我们脚踏在水桶粗的横干上，手抓住坚硬的枝条，迎风站在离地有十来米高的半空中——风好大呀，蓝天白云，田野碧绿，小河在发着亮……	Complex 13 15 雄伟
当时三人坐下，李逵便道：“酒把大碗来筛，不奈烦小盏价吃。”	Hard 14 15 把
次日早起五更，在府里把担仗都摆在厅前，老都管和两个虞候又将一小担财帛，共十一担，拣了十一个壮健的厢禁军，都做脚夫打扮。	Hard 25 27 虞候
巨大的漕船，舳舻相接，忙碌的船工从停泊在河边的粮船上卸下沉重的粮包，纤夫们拖着船，逆水行驶，一片繁忙景象。	Hard 6 10 舳舻相接
但是这个文件，在我死后，这一克镭就成为私人财产，成为我女儿的产业。	Complex 15 16 镭
胡早秋这才看到了西圩堤上的人影，忙掉转车头，迎着水流冲向圩堤。	Hard 9 11 圩堤
她带着些惊惶的神情说。	Complex 4 6 惊惶
夜来风雨声，花落知多少？	Hard 6 11 花落知多少
“可是人不是生来要给人家打败的，”他说，“人尽可被毁灭，可是不会肯吃败仗的。”	Complex 34 36 败仗
有时候，他引诱你到语言文字的穷边涯际，下面是深秘的静默：“此中有真意，欲辨已忘言。”	Hard 35 40 欲辨已忘言
渐渐地，我读诗读出了兴趣，也会比较同一类题材的不同写法和诗人不同的情感表达方式，也关心起诗人的身世际遇了，我因此增长了不少知识。	Complex 47 51 身世际遇
可以毫不夸张地说，在这里，培育一棵树的费用抵得上培养一个孩子。	Complex 21 24 抵得上
这是一句诗一样美的妙语。	Complex 9 11 妙语
腊月二十三过小年，香烛纸马送灶王爷上天。	Hard 14 17 灶王爷
开始我看得津津有味，天长日久，就感到不过瘾了。	Complex 10 14 天长日久
博识的人们觉得他单调，他自己也以为不幸否耶？	Hard 19 21 否耶
后来时移事迁，岁月流逝，池塘里却变得“半亩方塘一鉴开，天光云影共徘徊”，再也不见什么荷花了。	Complex 7 11 岁月流逝
但是看到舷窗玻璃开始出现裂缝，我紧张了，心想：完了，这个舷窗不行了。	Hard 4 6 舷窗
急下马向前施礼，问曰：“先生非卧龙否？”	Hard 14 18 非卧龙否
保尔在海边找了张长発坐下，把脸对着日光，太阳已不那么晒人了。	Hard 8 10 长発
难道我这个人将以荷而传吗？	Hard 7 11 以荷而传
极天云一线异色，须臾成五采。	Hard 5 7 异色
他读过私塾，年长后外出闯码头，碰了几次壁，穷愁潦倒，无以为生，回来做了信客。	Complex 35 37 信客
当时副刊最有名的，是《申报》的《自由谈》和《新闻报》的《快活林》，都是后来被鲁迅先生称之为“鸳鸯蝴蝶派”的主要阵地，内容浅薄无聊。	Hard 46 50 鸳鸯蝴蝶
光绪三十四年（1908）我从成都回来，在仪陇县办高等小学，一年回家两三次去看母亲。	Complex 20 23 仪陇县
只是它的联想的意义迷离不易捉摸，它可以联想到燃烧弹，鸦片烟榻，庙里焚香，“一川烟水”，“杨柳万条烟”，“烟光凝而暮山紫”，“蓝田日暖玉生烟”……	Hard 52 59 烟光凝而暮山紫
记得我还是小男孩的时候，晚上洗澡常常呻吟抱怨，在这种意义上，我认为空间站是小孩子的天堂。	Complex 18 22 呻吟抱怨
李白诗云“燕山雪花大如席”，不知有几万、几十万朵雪花才能黏连成一片席那么大呢！	Complex 28 30 黏连
太史季说:“我当然爱惜性命。	Complex 0 3 太史季
而她却坦然地接过去，自信地对我说：“不用绱，钉几个钉子就行了。”	Hard 20 21 绱
大紫檀雕螭案上，设着三尺来高青绿古铜鼎，悬着待漏随朝墨龙大画，一边是金蜼彝，一边是玻璃。	Hard 34 37 金蜼彝
我们现在已经回到了我们的后院——离地球1光年的地方。	Hard 20 22 光年
这样，人们在实际上经常只能对未来相当短的时间作准确的预言。	Complex 26 28 预言
他找来休假的儿子替他看桥，自己三天两头往工务段跑，找领导向办法解决问题。	Complex 15 19 三天两头
心中想着，忽见丫鬟话未报完，已进来了一位年轻的公子：头上戴着束发嵌宝紫金冠，齐眉勒着二龙抢珠金抹额；穿一件二色金百蝶穿花大红箭袖，束着五彩丝攒花结长穗宫绦，外罩石青起花八团倭缎排穗褂；登着青缎粉底小朝靴。	Hard 70 71 攒
淘气的孩子们去听窗，学会了这两句话，就给两位神仙加了新外号：三仙姑叫“前世姻缘”，二诸葛叫“命相不对”。	Hard 7 9 听窗
黄山松多生长在海拔800米到1700多米的高山上，还有不少就长在峭壁岩缝之中，黄山松针叶短粗稠密，顶平如削，干曲枝虬，苍翠奇特。	Complex 54 58 干曲枝虬
但当我哀悼隐鼠，给它复仇的时候，一面又在渴慕着绘图的《山海经》了。	Complex 3 5 哀悼
即使荒野露宿，栖身洞穴，也要“燃松拾穗，走笔为记”。	Hard 15 19 燃松拾穗
不久，英国政府采纳了罗兰希尔的建议，批准了世界上第一种邮资凭证——邮票，规定信件不超过半盎司（相当于14克），收费1便士。	Hard 44 46 盎司
然而，这种爱看戏的嗜好，很快地引起了她爱打扮的需要。	Hard 9 11 嗜好
美国人用崇拜明星的方式表现他们的热情。	Complex 4 6 崇拜
闻到那股子香喷喷的味道，好想吃啊！	Complex 5 8 香喷喷
过了这么多年，藤萝又开花了，而且开得这样盛，这样密，紫色的瀑布遮住了粗壮的盘虬卧龙般的枝干，不断地流着、流着，流向人的心底。	Hard 37 41 盘虬卧龙
“小李，这个苹果你吃了吧，好润润喉咙。”	Complex 14 18 润润喉咙
在那春之宫殿，同粉蝶追欢取乐的桃花，自下而上，攀附他物的紫罗兰，还有那以富贵夸耀人世的牡丹，早已沉没在尘俗的荒漠里。	Complex 23 25 攀附
太阳落山了；一颗星在落日的火海里发出颤抖的闪光来……	Complex 18 20 颤抖
悼公于是决定由祁午继任中军慰。	Hard 11 14 中军慰
我的眼里噙满了泪水。	Hard 4 6 噙满
至今我许多曲稿还留在她那里，许多书籍稿件也放在别处间小寓所里，因为没钱交房租，不能去取回来，但愿现在还在。	Complex 5 7 曲稿
我和同事们面对一方泥土，七嘴八舌地讨论起来，认定不能太娇，也不能太雅，太娇太雅都不是我们能服侍得了的。	Complex 45 47 服侍
在工作过程中，他必须凭记忆整页整页，甚至整章整章地背诵，因此母亲有时觉得他疯了。	Complex 22 24 整章
由于另一条鲨鱼正在蹂躏死鱼的缘故，船身还在晃荡，老头儿松开了帆脚绳，让船向一边摆动，使鲨鱼从船底下出来。	Hard 9 11 蹂躏
他们对圆明园进行了大规模的劫掠，赃物由两个胜利者均分。	Complex 13 15 劫掠
它的成分并不和一般通用的意义一样，里面是较少的籼米、锅焦、碎米和较多的乡下人用来喂猪的豆腐渣！	Hard 26 28 锅焦
它不同于：“美女妖且闲，采桑歧路间；柔条纷冉冉，落叶何翩翩。”	Hard 18 23 柔条纷冉冉
先一步赶来指挥渡河的李达参谋长要求十八旅必须在午夜12点钟以前渡完。	Complex 10 12 李达
陆虞侯告道：“不干小人事；太尉差遣，不敢不来。”	Hard 15 17 差遣
一想到他就要离开这儿，从此再也见不到他了，我就忘记了他以前给我的处罚，忘记了他如何用戒尺打我。	Hard 42 44 戒尺
刘伯承假装没有看见，只等他们快要撵拢身边，才一个纵步跳进麻柳林。	Hard 16 18 撵拢
待到学校恢复旧观，往日的教职员以为责任已尽，准备陆续引退的时候，我才见她虑及母校前途，黯然至于泣下。	Hard 43 45 黯然
他们相同的思想、哲学观点和才能;共同的趣味、生活和梦想;相同的文学主张和狂热的理想，共同的鉴赏能力与博学多识使他们两人常常是一拍即合，一见面，两人都不约而同地感到一种与其说是相互理解的愉快，倒不如说是心灵内在的欢乐。	Complex 74 78 不约而同
昆虫翅膀好看的，为螳螂及纺织娘。	Hard 12 15 纺织娘
在病床前苦苦服侍了他数年的养母，悲声大放：“我怎么就把您服侍下个这样儿……	Complex 16 20 悲声大放
水塘中，还有一顶即将下沉的红星军帽。	Complex 10 12 下沉
那计较都是吴用主张，这个唤作“智取生辰纲”。	Hard 17 20 生辰纲
我也怅然的，愤恨的，在诅骂着那个不知名的夺去我们所爱的东西的人。	Complex 11 13 诅骂
聂将军见这孩子两眼里流露出惊恐的神色，就拿过一个洗干净的梨子，和蔼地说：“这梨洗干净了，吃吧！”	Complex 31 33 和蔼
我看见蜘蛛把它的腿像球一样旋动，静静地躺上几小时，一直小心翼翼地注视着外界的动静，当一只苍蝇碰巧爬得够近时，它就忽然冲出洞穴，攫住它的俘获物。	Hard 63 65 攫住
其实，这也并非什么奇特的事情，在上海的弄堂里，租一间小房子住着的人，就时时可以体验到。	Complex 19 21 弄堂
那些戴旧毡帽的大清早摇船出来，到了埠头，气也不透一口，便来到柜台前面占卜他们的命运。	Hard 17 19 埠头
而有地炉、暖炕等设备的人家，不管它门外面是雪深几尺，或风大若雷，躲在屋里的两三个月的生活，却是一年之中最有劲的一段蛰居异境；老年人不必说，就是顶喜欢活动的小孩子们，总也是个个在怀恋的，因为这中间，有的是萝卜、雅儿梨等水果的闲食，还有大年夜、正月初一、元宵等热闹的节期。	Complex 57 61 蛰居异境
兀自不快下拜，等几时！	Hard 7 10 等几时
巢窠散落在地面上，小耗子又会发现它们，将毡靴的残毛搬进自己地下的窝中。	Hard 20 22 毡靴
接受了香山饭店的设计工作后，他不但多次到香山勘察地形，攀登峰顶，俯览周围环境，而且不辞劳苦地走访了北京、南京、扬州、苏州、承德等地，考察当地的大建筑和园林，最后采取了建筑一系列不规则院落的布局方式，使它与周围的水光山色、参天古树融为一体。	Complex 41 45 不辞劳苦
一边还咄念道：“等得住你！”	Hard 3 5 咄念
我们所能找到的惟一安慰是，我们在心里知道飞得那样高那样自豪的你们，现在在星际之外找到了上帝许诺以不朽生命的归宿。	Complex 48 50 不朽
然秦以区区之地，致万乘之势，序八州而朝同列，百有余年矣；然后以六合为家，崤函为宫；一夫作难而七庙隳，身死人手，为天下笑者，何也？	Hard 36 38 崤函
桐城派的文体以“味淡声希，整洁从容”自矜，也难怪表情较平，节拍较缓。	Complex 8 12 味淡声希
江理以“从者七人，二僧与俱”，组成一支浩浩荡荡的登山队，“一仆前持斧斤，剪伐丛莽，一仆鸣金继之，二三人肩糗执剑戟以随。”	Hard 4 8 从者七人
第八回里的一首绝句，嘲讽聊城杨氏海源阁（书中改称东昌府柳家）的藏书，虽不是好诗，却也不是造谣言的。	Complex 10 12 嘲讽
我于是日日盼望新年，新年到，闰土也就到了。	Complex 5 7 盼望
“你原来是条整鱼。	Hard 6 8 整鱼
我在田老师门下受业四年，听到上千个故事。	Hard 7 9 受业
各种各样的飞禽纷纷落到河边的牛蒡草上，它们啄食牛蒡尖儿的时候，发现了爷爷的毡靴。	Hard 37 39 毡靴
蝉、螳螂、黄雀，它们都—心想得到眼前的利益，却没顾到自己身后正隐伏着祸患呢！	Complex 34 36 祸患
及至始皇，奋六世之余烈，振长策而御宇内，吞二周而亡诸侯，履至尊而制六合，执敲扑而鞭笞天下，威振四海。	Hard 8 11 之余烈
在夜雨中与家人围炉闲谈，几乎都不会拌嘴；在夜雨中专心攻读，身心会超常地熨帖；在夜雨中思念友人，会思念到立即寻笔写信；在夜雨中挑灯作文，文字也会变得滋润蕴藉。	Hard 75 77 蕴藉
邢夫人苦留吃过晚饭去，黛玉笑回道：“舅母爱惜赐饭，原不应辞，只是还要过去拜见二舅舅，恐领了赐去不恭，异日再领，未为不可。	Complex 43 44 领
即使荒野露宿，栖身洞穴，也要“燃松拾穗，走笔为记”。	Hard 20 24 走笔为记
我问我自己，然后我听见了回应，回应来自童年旧居旁的河水，我听见多年以前被狂风带走的苦楝树苗向我挥手示意，我在这里，我在水里！	Hard 41 45 苦楝树苗
升旗的时候，礼炮响起来。	Complex 0 2 升旗
京口瓜洲一水间，钟山只隔数重山。	Hard 2 7 瓜洲一水间
我曾读到一个警句，是“愿你生命中有够多的云翳，来造成一个美丽的黄昏”。	Complex 20 22 云翳
尽管如此，万户那种勇于实践的探索精神，却使人们的内心深处受到了极大的震撼和鼓舞，他因此被国际航天史学家公认为人类升空探索的先驱。	Complex 34 36 震撼
多少年来，每到春天，我总要挑个风和日丽的日子，带上孩子们到郊区的野地里去挖荠菜。	Complex 37 39 荠菜
为了造成这样的麻醉，膜翅目猎手使用了当今先进科学可能会向实验生理学家建议的办法，即借助有毒的螫针破坏指挥运动器官的神经中枢。	Hard 46 48 螫针
傣族人对水天生就有一种崇敬感，村寨一般都建在水边，傣族人最隆重的节日是泼水节，他们在村里的饮水井上修建起一座神塔，在装饰得五颜六色的塔身上，镶嵌着许多小镜子，以求得到神灵的保护。	Complex 15 17 村寨
一只姬蜂往四面八方乱窜，水面却纹丝不动。	Complex 2 4 姬蜂
又经过了很长很长的年代，它们的前肢和尾巴渐渐变成了鳍，后肢完全退化了，整个身子成了鱼的样子，适应了海洋的生活。	Hard 25 26 鳍
即使克隆人的一些理由本身可以成立(例如解决不育、防止显性遗传病)，一且迈出克隆人的第一步，后面就很难阻挡。	Hard 26 28 显性
温暖的火、喷香的米饭和滚热的洗脚水，把我们身上的疲劳、饥饿都撵走了。	Hard 30 32 撵走
中小户人家，忌讳较少，遇到产妇胎位不正，老娘束手，老娘就会建议：“去请陈小手吧。”	Hard 22 24 束手
姑娘们心跳着涌上前去，像看电影一样，挨着窗口观望。	Complex 22 24 观望
一阵窸窸窣窣的声音，每个人都拿出讲义，端端正正摆在面前。	Complex 19 23 端端正正
由于水土流失，使河道泥沙淤积，河床抬高，湖泊面积缩小，湖泊的蓄洪能力降低。	Complex 12 14 淤积
然而她反满足，口角边渐渐的有了笑影，脸上也白胖了。	Hard 7 9 口角
克拉维切克因为是面包师傅出身，被派到供给部去做检査员，其余的人都派到普夏一沃季查去了。	Complex 18 21 供给部
虽然我毫无疑义地判定儿子患的只是普通感冒，如果寻找适宜锻炼看病的病种，这是最好的选择，但我还是深深地谴责自己。	Hard 32 34 病种
而且，还有一些人渴望去探索许多世纪以来前人所挖掘的坑道。	Complex 25 27 坑道
又湖南湘西地区部分挑花绣，地材有用桃红色羽纱和水绿色羽纱的，从材料流行时代分析，可知必是六七十年间作品，虽在苗区发现，实是汉人制作。	Complex 9 12 挑花绣
他一边跑一边叫：“不好了，不好了，‘咕咚’来了，大家快跑哇！”	Complex 18 20 咕咚
用这种话来描绘人类是可以的。	Complex 5 7 描绘
张乡绅攀谈道：“世先生同在桑梓，一向有失亲近。”	Hard 13 15 桑梓
再用鸡肉脯子，还有香菌、新笋、蘑菇、五香豆腐干子，各色干果子，都切成丁儿，拿鸡汤煨干了，拿香油一收，盛在磁罐子里封严了。	Complex 52 55 磁罐子
像鸽子笼一般地分得均匀，每边八排，每排五户，一共八十户一楼一底的房屋，每间工房的楼上楼下，平均住着三十二三个“懒虫”和“猪猡”，所以，除了“带工”老板、老板娘、他们的家族亲戚和穿拷绸衣服的同一职务的打杂、请愿警之外，这工房区域的墙圈里面住着二千左右衣服褴褛而替别人制造衣料的“猪猡”。	Hard 126 128 褴褛
中华文化就是在这块土地上发祥的。	Complex 12 14 发祥
一种比饥饿更可怕的东西平生头一次潜入了我那童稚的心……	Complex 21 23 童稚
在我自己的想象中，也觉得于月明风清之下，观览江头浪潮奔驰，比在白日里太阳光下的，要有趣味得多。	Complex 24 26 浪潮
“也是，岁数不饶人哪！”	Hard 4 9 岁数不饶人
是口、胃、肝、脾、肠等消化器官。	Complex 7 8 脾
你是个破落户，若是和俺硬到底，洒家倒饶了你。	Hard 15 17 洒家
更复射，终不能入石矣。	Hard 7 9 入石
蚂蚁一骨碌爬起来，想都没想，又换了种姿势，像只蜣螂那样头顶着地，用后腿往上举。	Hard 23 25 蜣螂
《千家诗》中很大一部分诗歌歌咏祖国风物，按春夏秋冬时序编排，打开书往下念，四季风光就活生生地展现在眼前：“成紫千红总是春”，“春城无处不飞花”；“绿树阴浓夏日长”，“五月榴花照眼明”；“青女素娥俱耐冷，月中霜里斗婵娟”；“梅雪争春未肯降，骚人搁笔费评章”……	Hard 93 100 青女素娥俱耐冷
它们过分热情地扑向过分冷漠的荒丘，不管人家愿不愿意，就去亲吻就去拥抱，热烈疯狂，缱绻缠绵，完全是一种自己的方式。	Hard 40 44 缱绻缠绵
我将看见所有的人们在我面前低头，鞠躬，匍匐，连同我的尊长，我的师友，和从前曾在我面前昂头阔步、耀武扬威的人们。	Hard 26 28 尊长
几个纤夫见他们的伙伴挨了打，唿哨而上；只听咯吧一声，一丈青大娘折断了一棵茶碗口粗细的河柳，带着呼呼风声挥舞起来，把这几个纤夫扫下河去，就像正月十五煮元宵，纷纷落水。	Complex 2 4 纤夫
国耻家很，都完全可以让他对美军轰炸日本本土感到兴奋。	Complex 15 17 轰炸
杨志道：“既然老都管说了，教这厮们买吃了，便起身。”	Complex 14 17 这厮们
美索不达米亚、希腊、小亚细亚以及其他各地的居民，为了得到耕地，毁灭了森林，但是他们做梦也想不到，这些地方今天竟因此而成为不毛之地，因为他们使这些地方失去了森林，也就失去了水分的积聚中心和贮藏库。	Complex 88 90 积聚
新的环境伦理则在更理性的层面上告诉人们，乡土野草是值得尊重和爱惜的，它们之于人类和非人类的价值绝不亚于红皮书上的一类或二类保护植物。	Complex 51 54 红皮书
金龟子的折扇，跟天牛长长的须角、锹甲的铁锹般的上颚一样，都是发育成熟可以求偶的标志，只是外形各不相同而已。	Hard 19 21 铁锹
其出不出，间不容发。	Hard 0 4 其出不出
牛虻面对他们，微笑着站好，枪在士兵们的手中不住地抖动着。	Complex 24 26 抖动
大熊猫如今分布地域十分狭窄，仅见于我国四川省的岷山、邛崃山和大小凉山，甘肃省的南缘和陕西省秦岭南麓等海拔2000～3500米的崇山峻岭。	Hard 26 29 邛崃山
奥斯里克殿下，王上已经用六匹巴巴里的骏马跟他打赌；在他的一方面，照我所知道的，押的是六柄法国的宝剑和好刀，连同一切鞘带钩子之类的附件，其中有三柄的挂机尤其珍奇可爱，跟剑柄配得非常合式，式样非常精致，花纹非常富丽。	Hard 57 59 鞘带
父亲说：“我们不能光顾眼前。	Complex 9 11 光顾
伤好以后，您只能靠着双拐走路了。	Complex 10 12 双拐
总之，凡有一线希望的地方，他都去过了。	Complex 5 9 一线希望
祖父发现我铲的那块地还留着一片狗尾草，就问我：“这是什么？”	Complex 5 6 铲
他非常愿意彻夜不睡，同这样的看守共度通宵；他愿意跟他们逗趣戏谑，给他们讲他漂泊生涯的故事，然后又悉心倾听他们的趣闻，目的只有一个：使他们保持清醒，以便让他们始终看清，他在笼子里什么吃的东西也没有，让他们知道，他们之中谁也比不上他的忍饿本领。	Complex 37 39 漂泊
这位宋朝的隐士林和靖，妻梅子鹤，终老是乡，范仲淹曾赞美他“片心高与月徘徊，岂为千钟下钓台。	Hard 37 44 岂为千钟下钓台
细娃们都像喝了碗凉水，心里格外舒畅，一齐喊叫道：“该背时！	Hard 0 2 细娃
我乘她不再紧接的问，迈开步便走，匆匆的逃回四叔的家中，心里很觉得不安逸。	Hard 33 35 安逸
其实也不尽然。	Complex 3 6 不尽然
一年过去了，六个矮儿子回来了。	Complex 8 9 矮
通讯也好，还有赵望云的风俗画。	Complex 11 14 风俗画
有横在溪水上的独木桥,有下面可以走船的石拱桥,有舟船相连再铺上木板的浮桥,有跨过大江大河的斜拉桥……	Complex 19 22 石拱桥
到晚上，他就穿上宽大的羊皮袄，敲着梆子，在别墅的周围走来走去。	Hard 17 19 梆子
你看,在商店的橱窗里,在百姓的客厅中,在机关单位的大门口；在欢庆申奥成功的人群中,在归国旅游的白发苍苍的老华侨胸前,甚至在孩子们的颈上；在首都北京,在西南的少数民族的村寨,到处都可以看到中国结那富于丝绸质感的鲜红、美丽、典雅的造型。	Complex 83 85 村寨
这位科学巨匠就是这样，但这在他身上远不是主要的。	Complex 4 6 巨匠
船有节奏地前后晃荡着。	Complex 7 9 晃荡
波农丁皱着眉头，伤感地说：“它要离开我们去象冢了。”	Hard 21 23 象冢
说完，小兔为塘鹅妈妈表演了一个大倒立，可是塘鹅妈妈只是点了点头。	Complex 21 23 塘鹅
少焉，月出寒阴，微明散布石上，松声倏然自万壑来，客皆悚视寂，觉境愈清，思愈远。	Hard 8 14 微明散布石上
中国古代哲人早就看到大自然运行的一条重要规律，并由此引申出人生的准则：“天行健，君子以自强不息。”	Hard 36 39 天行健
这所谓灵柩，其实只是一卷用绳子捆着的芦席，说书人的脚从席子里露出来，不住随着杠手的步骤摆动，他的破长衫的一角直垂到地上，一路上扫着路上的浮土。	Complex 41 43 步骤
但是在阜平，这样一身衣服，织染既是不容易，穿上也就觉得鲜亮好看了。	Complex 3 5 阜平
英国足球协会的成立标志着现代足球运动的诞生。	Complex 19 21 诞生
董奉又把用杏子换来的米，救济貧苦的农民。	Complex 12 14 救济
而今，伊拉克境内的古城旧地，除了荒沙和盐碱地，再也找不到当年古文明美丽的环境。	Complex 9 13 古城旧地
中国婚姻方法的缺陷，才子佳人小说作家早就感到了，他于是使一个才子在壁上题诗，一个佳人便来和，由倾慕——现在就得称恋爱——而至于有“终身之约”。	Complex 44 45 和
我在花园里踱来踱去，一阵微风吹来时，我发现一件奇妙的事：白杨树上完全成熟了的柔荑花绽裂开来，随风飘荡，它的包着种子的绒毛到处飞舞，像雪花似的飞满天空，把泥地和整个院子都铺满了；漫天飞舞着银白色的绒毛，这景象多么神奇！	Complex 5 9 踱来踱去
爸爸不愧是作家，跟自己的亲骨肉也咬文嚼字，而且也不肯赏一句振奋人的话。	Hard 16 20 咬文嚼字
